cve_id,cwe_id,epss_score,epss_percentile,cvss_base_score,cvss_base_severity,cvss_vector,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality,integrity,availability,cvss_exploitability_score,cvss_impact_score,cvss_score_source,cvss_first_seen,publish_date,update_date,source,vuln_category
CVE-2017-7782,269,0.51%,~ 66 %,5.3,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,Network,Low,None,None,Unchanged,None,Low,None,3.9,1.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.408,mozilla,WindowsDllDetourPatcher allocates memory without DEP protections
CVE-2017-7779,119,2.07%,~ 84 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.265,mozilla,"Memory safety bugs fixed in Firefox 55, Firefox ESR 52.3, and Thunderbird 52.3"
CVE-2017-7778,119,1.06%,~ 77 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.373,mozilla,Vulnerabilities in the Graphite 2 library
CVE-2017-7765,20,0.49%,~ 65 %,7.5,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,Network,Low,None,None,Unchanged,None,High,None,3.9,3.6,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.502,mozilla,Mark of the Web bypass when saving executable files
CVE-2017-7764,20,1.03%,~ 77 %,5.3,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,Network,Low,None,None,Unchanged,None,Low,None,3.9,1.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.412,mozilla,Domain spoofing with combination of Canadian Syllabics and other unicode blocks
CVE-2017-7763,20,0.51%,~ 66 %,5.3,MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,Network,Low,None,None,Unchanged,None,Low,None,3.9,1.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.417,mozilla,Mac fonts render some unicode characters as spaces
CVE-2017-7758,125,1.68%,~ 82 %,9.1,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,Network,Low,None,None,Unchanged,High,None,High,3.9,5.2,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.432,mozilla,Out-of-bounds read in Opus encoder
CVE-2017-7757,416,1.87%,~ 83 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.358,mozilla,Use-after-free in IndexedDB
CVE-2017-7756,416,1.87%,~ 83 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.226,mozilla,Use-after-free and use-after-scope logging XHR header errors
CVE-2017-7755,426,0.77%,~ 73 %,7.8,HIGH,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Local,Low,None,Required,Unchanged,High,High,High,1.8,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.505,mozilla,Privilege escalation through Firefox Installer with same directory DLL files
CVE-2017-7754,125,1.41%,~ 80 %,7.5,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,Network,Low,None,None,Unchanged,High,None,None,3.9,3.6,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.414,mozilla,Out-of-bounds read in WebGL with ImageInfo object
CVE-2017-7753,125,1.72%,~ 82 %,9.1,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,Network,Low,None,None,Unchanged,High,None,High,3.9,5.2,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.382,mozilla,Out-of-bounds read with cached style data and pseudo-elements
CVE-2017-7752,416,0.97%,~ 76 %,8.8,HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,Network,Low,None,Required,Unchanged,High,High,High,2.8,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.283,mozilla,Use-after-free with IME input
CVE-2017-7751,416,1.87%,~ 83 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.407,mozilla,Use-after-free with content viewer listeners
CVE-2017-7750,416,1.87%,~ 83 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.319,mozilla,Use-after-free with track elements
CVE-2017-7749,416,1.87%,~ 83 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 16:12:28.259,mozilla,Use-after-free during docshell reloading
CVE-2017-5472,416,1.87%,~ 83 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 15:04:14.834,mozilla,Use-after-free using destroyed node when regenerating trees
CVE-2017-5470,119,1.87%,~ 83 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 15:04:14.617,mozilla,Memory safety bugs fixed in Firefox 54 and Firefox ESR 52.2
CVE-2017-5469,119,4.07%,~ 88 %,9.8,CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Network,Low,None,None,Unchanged,High,High,High,3.9,5.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2018-06-11 21:00:00.000,2024-08-05 15:04:14.693,mozilla,Potential Buffer overflow in flex-generated code
