cve_id,cwe_id,epss_score,epss_percentile,cvss_base_score,cvss_base_severity,cvss_vector,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality,integrity,availability,cvss_exploitability_score,cvss_impact_score,cvss_score_source,cvss_first_seen,publish_date,update_date,source,vuln_category
CVE-2012-4196,74,0.96%,~ 76 %,6.4,MEDIUM,AV:N/AC:L/Au:N/C:P/I:P/A:N,,,,,,,,,10.0,4.9,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-29 18:00:00.000,2024-08-06 20:28:07.586,mitre,
CVE-2012-4195,79,0.96%,~ 76 %,4.3,MEDIUM,AV:N/AC:M/Au:N/C:N/I:P/A:N,,,,,,,,,8.6,2.9,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-29 18:00:00.000,2024-08-06 20:28:07.605,mitre,
CVE-2012-4194,79,1.36%,~ 80 %,4.3,MEDIUM,AV:N/AC:M/Au:N/C:N/I:P/A:N,,,,,,,,,8.6,2.9,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-29 18:00:00.000,2024-08-06 20:28:07.620,mitre,
CVE-2012-4193,346,1.41%,~ 80 %,6.8,MEDIUM,AV:N/AC:M/Au:N/C:P/I:P/A:P,,,,,,,,,8.6,6.4,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-12 10:00:00.000,2024-08-06 20:28:07.579,mitre,
CVE-2012-4192,264,0.87%,~ 75 %,4.3,MEDIUM,AV:N/AC:M/Au:N/C:P/I:N/A:N,,,,,,,,,8.6,2.9,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-12 10:00:00.000,2024-08-06 20:28:07.548,mitre,
CVE-2012-4188,119,55.61%,~ 98 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-10 17:00:00.000,2024-08-06 20:28:07.581,mitre,Memory Corruption
CVE-2012-4187,119,24.84%,~ 96 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-10 17:00:00.000,2024-08-06 20:28:07.557,mitre,Memory Corruption
CVE-2012-4186,119,55.61%,~ 98 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-10 17:00:00.000,2024-08-06 20:28:07.558,mitre,Memory Corruption
CVE-2012-4185,119,5.22%,~ 90 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-10 17:00:00.000,2024-08-06 20:28:07.584,mitre,Memory Corruption
CVE-2012-4184,79,1.10%,~ 78 %,4.3,MEDIUM,AV:N/AC:M/Au:N/C:N/I:P/A:N,,,,,,,,,8.6,2.9,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-10 17:00:00.000,2024-08-06 20:28:07.586,mitre,
CVE-2012-4183,416,2.72%,~ 86 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-10 17:00:00.000,2024-08-06 20:28:07.544,mitre,Use After Free
CVE-2012-4182,416,4.75%,~ 89 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-10 17:00:00.000,2024-08-06 20:28:07.550,mitre,Use After Free
CVE-2012-4181,416,3.50%,~ 87 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-10 17:00:00.000,2024-08-06 20:28:07.581,mitre,Use After Free
CVE-2012-4180,119,9.49%,~ 93 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-10 17:00:00.000,2024-08-06 20:28:07.550,mitre,Use After Free
CVE-2012-4179,416,6.07%,~ 91 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-10 17:00:00.000,2024-08-06 20:28:07.529,mitre,Use After Free
CVE-2012-3995,125,2.02%,~ 83 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-10 17:00:00.000,2024-08-06 20:21:04.039,mitre,Use After Free
CVE-2012-3994,79,0.93%,~ 76 %,4.3,MEDIUM,AV:N/AC:M/Au:N/C:N/I:P/A:N,,,,,,,,,8.6,2.9,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-10 17:00:00.000,2024-08-06 20:21:04.251,mitre,Cross Site Scripting
CVE-2012-3993,269,80.84%,~ 99 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-10 17:00:00.000,2024-08-06 20:21:04.342,mitre,
CVE-2012-3992,79,1.14%,~ 78 %,4.3,MEDIUM,AV:N/AC:M/Au:N/C:N/I:P/A:N,,,,,,,,,8.6,2.9,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-10 17:00:00.000,2024-08-06 20:21:04.216,mitre,Spoofing
CVE-2012-3991,264,1.42%,~ 80 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-10 17:00:00.000,2024-08-06 20:21:04.358,mitre,
CVE-2012-3990,416,6.07%,~ 91 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-10 17:00:00.000,2024-08-06 20:21:04.208,mitre,Use After Free
CVE-2012-3988,416,3.99%,~ 88 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-10 17:00:00.000,2024-08-06 20:21:04.248,mitre,Use After Free
CVE-2012-3986,20,0.84%,~ 74 %,4.3,MEDIUM,AV:N/AC:M/Au:N/C:N/I:P/A:N,,,,,,,,,8.6,2.9,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-10 17:00:00.000,2024-08-06 20:21:04.183,mitre,
CVE-2012-3983,119,0.77%,~ 73 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-10 17:00:00.000,2024-08-06 20:21:04.076,mitre,Memory Corruption
CVE-2012-3982,,1.27%,~ 79 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-10-10 17:00:00.000,2024-08-06 20:21:04.246,mitre,Memory Corruption
CVE-2012-3980,94,2.20%,~ 84 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-08-29 10:00:00.000,2024-08-06 20:21:04.189,mitre,
CVE-2012-3978,264,1.29%,~ 79 %,6.8,MEDIUM,AV:N/AC:M/Au:N/C:P/I:P/A:P,,,,,,,,,8.6,6.4,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-08-29 10:00:00.000,2024-08-06 20:21:04.063,mitre,
CVE-2012-3974,399,0.12%,~ 31 %,6.9,MEDIUM,AV:L/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,3.4,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-08-29 10:00:00.000,2024-08-06 20:21:04.121,mitre,
CVE-2012-3972,200,4.55%,~ 89 %,5.0,MEDIUM,AV:N/AC:L/Au:N/C:P/I:N/A:N,,,,,,,,,10.0,2.9,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-08-29 10:00:00.000,2024-08-06 20:21:04.217,mitre,Out-of-Bounds
CVE-2012-3970,399,2.74%,~ 86 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-08-29 10:00:00.000,2024-08-06 20:21:04.253,mitre,Use After Free
CVE-2012-3969,189,5.07%,~ 90 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-08-29 10:00:00.000,2024-08-06 20:21:04.257,mitre,Use After Free
CVE-2012-3968,416,1.85%,~ 83 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-08-29 10:00:00.000,2024-08-06 20:21:04.272,mitre,Memory Corruption
CVE-2012-3967,787,0.59%,~ 69 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-08-29 10:00:00.000,2024-08-06 20:21:04.119,mitre,Memory Corruption
CVE-2012-3966,119,3.66%,~ 88 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-08-29 10:00:00.000,2024-08-06 20:21:04.215,mitre,Memory Corruption
CVE-2012-3964,399,2.13%,~ 84 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-08-29 10:00:00.000,2024-08-06 20:21:04.323,mitre,Use After Free
CVE-2012-3963,416,2.31%,~ 85 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-08-29 10:00:00.000,2024-08-06 20:21:04.061,mitre,Use After Free
CVE-2012-3962,,4.22%,~ 89 %,9.3,HIGH,AV:N/AC:M/Au:N/C:C/I:C/A:C,,,,,,,,,8.6,10.0,8254265b-2729-46b6-b9e3-3dfca2d5bfca,,2012-08-29 10:00:00.000,2024-08-06 20:21:04.157,mitre,Use After Free
