cve_id,cwe_id,epss_score,epss_percentile,cvss_base_score,cvss_base_severity,cvss_vector,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality,integrity,availability,cvss_exploitability_score,cvss_impact_score,cvss_score_source,cvss_first_seen,publish_date,update_date,source,vuln_category
CVE-2015-4494,200,0.26%,~ 49 %,4.3,MEDIUM,AV:N/AC:M/Au:N/C:P/I:N/A:N,,,,,,,,,8.6,2.9,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-08-08 00:00:00.000,2024-08-06 06:18:11.947,mozilla,
CVE-2015-4492,,2.31%,~ 84 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-08-16 01:00:00.000,2024-08-06 06:18:11.542,mozilla,Use After Free
CVE-2015-4489,119,2.20%,~ 84 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-08-16 01:00:00.000,2024-08-06 06:18:11.587,mozilla,
CVE-2015-4488,,1.90%,~ 83 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-08-16 01:00:00.000,2024-08-06 06:18:11.116,mozilla,
CVE-2015-4487,119,2.68%,~ 86 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-08-16 01:00:00.000,2024-08-06 06:18:11.063,mozilla,
CVE-2015-4486,119,1.67%,~ 82 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-08-16 01:00:00.000,2024-08-06 06:18:11.178,mozilla,Buffer Overflow
CVE-2015-4485,119,7.60%,~ 92 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-08-16 01:00:00.000,2024-08-06 06:18:11.557,mozilla,Buffer Overflow
CVE-2015-4482,119,0.09%,~ 26 %,4.6,MEDIUM,AV:L/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,3.9,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-08-16 01:00:00.000,2024-08-06 06:18:11.042,mozilla,Out-of-Bounds
CVE-2015-4477,,2.91%,~ 86 %,10.0,HIGH,AV:N/AC:L/Au:N/C:C/I:C/A:C,,,,,,,,,10.0,10.0,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-08-16 01:00:00.000,2024-08-06 06:18:11.162,mozilla,Use After Free
CVE-2015-4475,119,1.25%,~ 79 %,7.5,HIGH,AV:N/AC:L/Au:N/C:P/I:P/A:P,,,,,,,,,10.0,6.4,f16b083a-5664-49f3-a51e-8d479e5ed7fe,,2015-08-16 01:00:00.000,2024-08-06 06:18:11.081,mozilla,Out-of-Bounds
